packet	label	creator	arm	family	creator_model	creator_effort	repetition	intent_scope	assessable_success	needed_detail	information_conditions	allocation	interfaces	realization	evidence	material_business_defect	bounded_business_defect	adjudication
FP01	R17	focus-002	A	S03	gpt-5.6-sol	high	2	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP01-adjudication.md
FP01	R63	focus-001	A	S03	gpt-5.6-sol	high	1	2	3	3	3	N/A	N/A	N/A	N/A	none established	scope exception expands conversational brief	grades/focused-FP01-adjudication.md
FP01	R28	control-020	C	S03	gpt-5.6-sol	high	2	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP01-adjudication.md
FP01	R44	control-019	C	S03	gpt-5.6-sol	high	1	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP01-adjudication.md
FP02	R17	control-023	C	S03	gpt-6-astra	high	1	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP02-adjudication.md
FP02	R63	control-024	C	S03	gpt-6-astra	high	2	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP02-adjudication.md
FP02	R28	focus-003	A	S03	gpt-6-astra	high	1	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP02-adjudication.md
FP02	R44	focus-004	A	S03	gpt-6-astra	high	2	3	3	3	3	N/A	N/A	N/A	N/A	none established	none established	grades/focused-FP02-adjudication.md
FP03	R17	control-043	C	S06	gpt-5.6-sol	high	1	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP03-adjudication.md
FP03	R63	focus-005	A	S06	gpt-5.6-sol	high	1	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP03-adjudication.md
FP03	R28	control-044	C	S06	gpt-5.6-sol	high	2	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP03-adjudication.md
FP03	R44	focus-006	A	S06	gpt-5.6-sol	high	2	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP03-adjudication.md
FP04	R17	focus-007	A	S06	gpt-6-astra	high	1	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP04-adjudication.md
FP04	R63	control-047	C	S06	gpt-6-astra	high	1	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP04-adjudication.md
FP04	R28	focus-008	A	S06	gpt-6-astra	high	2	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP04-adjudication.md
FP04	R44	control-048	C	S06	gpt-6-astra	high	2	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP04-adjudication.md
FP05	R17	focus-010	A	S10	gpt-5.6-sol	high	2	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP05-adjudication.md
FP05	R63	control-068	C	S10	gpt-5.6-sol	high	2	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP05-adjudication.md
FP05	R28	control-067	C	S10	gpt-5.6-sol	high	1	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP05-adjudication.md
FP05	R44	focus-009	A	S10	gpt-5.6-sol	high	1	3	3	3	3	3	3	3	3	none established	none established	grades/focused-FP05-adjudication.md
