consumer_id	creator_id	case	variant	model	effort	execution	agent
U001	cal-001	S01	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_001
U002	cal-001	S01	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_002
U003	cal-002	S01	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_003
U004	cal-002	S01	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_004
U005	cal-003	S01	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_005
U006	cal-003	S01	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_006
U007	cal-004	S01	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_007
U008	cal-004	S01	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_008
U009	cal-005	S05	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_009
U010	cal-005	S05	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_010
U011	cal-006	S05	ordinary	gpt-5.6-sol	high	running	/root/use_011
U012	cal-006	S05	challenging	gpt-5.6-sol	high	running	/root/use_012
U013	cal-007	S05	ordinary	gpt-5.6-sol	high	running	/root/use_013
U014	cal-007	S05	challenging	gpt-5.6-sol	high	not started	
U015	cal-008	S05	ordinary	gpt-5.6-sol	high	not started	
U016	cal-008	S05	challenging	gpt-5.6-sol	high	not started	
U017	cal-009	S10	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_017
U018	cal-009	S10	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_018
U019	cal-010	S10	ordinary	gpt-5.6-sol	high	completed; not graded	/root/use_019
U020	cal-010	S10	challenging	gpt-5.6-sol	high	completed; not graded	/root/use_020
U021	cal-011	S10	ordinary	gpt-5.6-sol	high	running	/root/use_021
U022	cal-011	S10	challenging	gpt-5.6-sol	high	running	/root/use_022
U023	cal-012	S10	ordinary	gpt-5.6-sol	high	not started	
U024	cal-012	S10	challenging	gpt-5.6-sol	high	not started	
