packet	label	creator	consumer	arm	family	creator_model	creator_effort	repetition	variant	adequacy	answer_only_adequacy	business_outcome	evidenced_skill_corrections	separate_public_handoff_preserved	adjudication
FP01	R17	focus-002	F-U003	A	S03	gpt-5.6-sol	high	2	ordinary	adequate	adequate	agreement evidenced before assistance	0	True	grades/focused-FP01-adjudication.md
FP01	R17	focus-002	F-U004	A	S03	gpt-5.6-sol	high	2	challenging	adequate	adequate	full agreement unestablished	0	True	grades/focused-FP01-adjudication.md
FP01	R63	focus-001	F-U001	A	S03	gpt-5.6-sol	high	1	ordinary	adequate	adequate	agreement evidenced before assistance	0	True	grades/focused-FP01-adjudication.md
FP01	R63	focus-001	F-U002	A	S03	gpt-5.6-sol	high	1	challenging	adequate	adequate	full agreement unestablished	0	True	grades/focused-FP01-adjudication.md
FP01	R28	control-020	C-U039	C	S03	gpt-5.6-sol	high	2	ordinary	adequate	adequate	agreement evidenced before assistance	0	False	grades/focused-FP01-adjudication.md
FP01	R28	control-020	C-U040	C	S03	gpt-5.6-sol	high	2	challenging	adequate	adequate	full agreement unestablished	0	False	grades/focused-FP01-adjudication.md
FP01	R44	control-019	C-U037	C	S03	gpt-5.6-sol	high	1	ordinary	adequate	adequate	agreement evidenced before assistance	0	False	grades/focused-FP01-adjudication.md
FP01	R44	control-019	C-U038	C	S03	gpt-5.6-sol	high	1	challenging	adequate	adequate	full agreement unestablished	0	False	grades/focused-FP01-adjudication.md
FP02	R17	control-023	C-U045	C	S03	gpt-6-astra	high	1	ordinary	adequate	adequate	agreement evidenced before assistance	0	False	grades/focused-FP02-adjudication.md
FP02	R17	control-023	C-U046	C	S03	gpt-6-astra	high	1	challenging	adequate	adequate	full agreement unestablished	0	False	grades/focused-FP02-adjudication.md
FP02	R63	control-024	C-U047	C	S03	gpt-6-astra	high	2	ordinary	adequate	adequate	agreement evidenced before assistance	0	False	grades/focused-FP02-adjudication.md
FP02	R63	control-024	C-U048	C	S03	gpt-6-astra	high	2	challenging	adequate	adequate	full agreement unestablished	0	False	grades/focused-FP02-adjudication.md
FP02	R28	focus-003	F-U005	A	S03	gpt-6-astra	high	1	ordinary	adequate	adequate	agreement evidenced before assistance	0	True	grades/focused-FP02-adjudication.md
FP02	R28	focus-003	F-U006	A	S03	gpt-6-astra	high	1	challenging	adequate	adequate	full agreement unestablished	0	True	grades/focused-FP02-adjudication.md
FP02	R44	focus-004	F-U007	A	S03	gpt-6-astra	high	2	ordinary	bounded deficiency	adequate	agreement evidenced before assistance	0	True	grades/focused-FP02-adjudication.md
FP02	R44	focus-004	F-U008	A	S03	gpt-6-astra	high	2	challenging	adequate	adequate	full agreement unestablished	0	True	grades/focused-FP02-adjudication.md
FP03	R17	control-043	C-U085	C	S06	gpt-5.6-sol	high	1	ordinary	adequate	adequate	complete rollup supported	0	False	grades/focused-FP03-adjudication.md
